0	Who is the spouse of the Green performer?
1	Who founded the company that distributed the film UHF?
2	What administrative territorial entity is the owner of Ciudad Deportiva located?
3	Where is Ulrich Walter's employer headquartered?
4	Which company owns the manufacturer of Learjet 60?
5	Who is the child of Caroline LeRoy's spouse?
6	Who is the grandmother of Philippe, Duke of Orléans?
7	What is the goal of the group that European Movement Germany is a member of?
8	What company succeeded the owner of Empire Sports Network?
9	What province shares a border with the province where Lago District is located?
10	What league does the team that plays in Stadio Ciro Vigorito play for?
11	What is a notable work written by the author of The Timothy files?
12	In which borough was Callum McManaman born?
13	What other county does the county where Imperial is located share a border with?
14	In what county is William W. Blair's birthplace located?
15	What award did the author of The Red Tree receive?
16	Where was Tyler MacDuff's child educated?
17	Who is the spouse of the Rabbit Hole's producer?
18	Who is the child of Sigrid Eskilsdotter's child?
19	In which county is Kimbrough Memorial Stadium located?
20	What record label is the performer of Almost Made Ya signed to?
21	Where was the author of Hannibal and Scipio educated at?
22	In which county is Southern Maryland Electric Cooperative headquartered?
23	Who is the child of the Victim of Romance performer?
24	What county was Tim Dubois born in?
25	What record label did the person who is part of The Bruce Lee Band start?
26	What is another notable work made by the author of Miss Sara Sampson?
27	What instrument is played by the person from The Blackout All-Stars?
28	What is the seat of the county where Van Hook Township is located?
29	Who is the father of Edward Baring, 1st Baron Revelstoke's father?
30	What group was the performer of Be the One a member of?
31	Who is the lead singer of the band performing Bang Bang Rock & Roll?
32	What is the network which National Cycle Route 57 is part of an example of?
33	Who is the spouse of the child of Peter Andreas Heiberg?
34	The Unwinding author volunteered for which organisation?
35	What is the capital of the county that Pine Springs is located in?
36	What district is the headquarter of Julia's House located?
37	Who is the spouse of Young Man Luther's author?
38	What record label did the performer of The Place and the Time belong to?
39	Who is the child of the person who followed Tihomir of Serbia?
40	What team was Anna Benson's husband on?
41	What place does the administrative territorial entity that Juba is located in share a border with?
42	Where was the spouse of Frances Tupper born?
43	Who founded the political party of Dimuthu Bandara Abayakoon?
44	Bancroft's county borders what county?
45	In which county is Mark Dismore's birthplace located?
46	Who was the sibling of Nannina de' Medici?
47	What county is the NRHEG High School located in?
48	What league does the team that occupies the Rabat Ajax Football Ground belong to?
49	Who was married to the star of No Escape?
